dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params
eurosat,equivariant,gated_sigmoid,Normbn,True,1,0.966852,87.42,1292682
eurosat,equivariant,gated_sigmoid,Normbn,True,2,0.964074,77.83,1292682
eurosat,equivariant,gated_sigmoid,Normbn,True,3,0.961667,87.08,1292682
eurosat,equivariant,gated_sigmoid,Normbn,True,4,0.962778,77.58,1292682
eurosat,equivariant,norm_relu,Normbn,False,0,0.942593,81.85,1244167
eurosat,equivariant,norm_relu,Normbn,False,1,0.94537,94.17,1244167
eurosat,equivariant,norm_relu,Normbn,False,2,0.954259,81.93,1244167
eurosat,equivariant,norm_relu,Normbn,False,3,0.952593,94.42,1244167
eurosat,equivariant,norm_relu,Normbn,False,4,0.947222,82.05,1244167
eurosat,equivariant,norm_relu,Normbn,True,0,0.943519,91.63,1244167
eurosat,equivariant,norm_relu,Normbn,True,1,0.95963,81.43,1244167
eurosat,equivariant,norm_relu,Normbn,True,2,0.960556,90.98,1244167
eurosat,equivariant,norm_relu,Normbn,True,3,0.954259,81.83,1244167
eurosat,equivariant,norm_relu,Normbn,True,4,0.957963,95.3,1244167
eurosat,equivariant,normbn_relu,Normbn,False,0,0.949074,76.55,1244167
eurosat,equivariant,normbn_relu,Normbn,False,1,0.942407,84.1,1244167
eurosat,equivariant,normbn_relu,Normbn,False,2,0.947407,76.48,1244167
eurosat,equivariant,normbn_relu,Normbn,False,3,0.958704,84.08,1244167
eurosat,equivariant,normbn_relu,Normbn,False,4,0.946481,76.1,1244167
eurosat,equivariant,normbn_relu,Normbn,True,0,0.963889,75.47,1244167
eurosat,equivariant,normbn_relu,Normbn,True,1,0.960741,85.9,1244167
eurosat,equivariant,normbn_relu,Normbn,True,2,0.962037,75.75,1244167
eurosat,equivariant,normbn_relu,Normbn,True,3,0.965926,88.55,1244167
eurosat,equivariant,normbn_relu,Normbn,True,4,0.961852,75.12,1244167
eurosat,equivariant,normbnvec_relu,Normbn,False,0,0.952222,73.52,1244167
eurosat,equivariant,normbnvec_relu,Normbn,False,1,0.954444,80.85,1244167
eurosat,equivariant,normbnvec_relu,Normbn,False,2,0.95037,74.53,1244167
eurosat,equivariant,normbnvec_relu,Normbn,False,3,0.958889,81.23,1244167
eurosat,equivariant,normbnvec_relu,Normbn,False,4,0.94963,73.28,1244167
eurosat,equivariant,normbnvec_relu,Normbn,True,0,0.961481,80.45,1244167
eurosat,equivariant,normbnvec_relu,Normbn,True,1,0.96537,73.85,1244167
eurosat,equivariant,normbnvec_relu,Normbn,True,2,0.952963,79.68,1244167
eurosat,equivariant,normbnvec_relu,Normbn,True,3,0.956852,73.0,1244167
eurosat,equivariant,normbnvec_relu,Normbn,True,4,0.952222,79.38,1244167
eurosat,resnet18,norm_relu,Normbn,False,0,0.899444,8.42,11181642
eurosat,resnet18,norm_relu,Normbn,False,1,0.908704,5.68,11181642
eurosat,resnet18,norm_relu,Normbn,False,2,0.910185,5.8,11181642
eurosat,resnet18,norm_relu,Normbn,False,3,0.906852,6.12,11181642
eurosat,resnet18,norm_relu,Normbn,False,4,0.90037,8.97,11181642
eurosat,resnet18,norm_relu,Normbn,True,0,0.963704,6.13,11181642
eurosat,resnet18,norm_relu,Normbn,True,1,0.965,6.28,11181642
eurosat,resnet18,norm_relu,Normbn,True,2,0.969444,6.98,11181642
eurosat,resnet18,norm_relu,Normbn,True,3,0.970185,7.37,11181642
eurosat,resnet18,norm_relu,Normbn,True,4,0.969074,6.22,11181642
mnist_rot,equivariant,fourier_elu_16,Normbn,False,0,0.98632,5.43,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,False,1,0.98612,5.92,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,False,2,0.98578,5.43,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,False,3,0.9858,5.8,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,False,4,0.9852,5.42,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,True,0,0.98862,5.83,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,True,1,0.98868,5.42,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,True,2,0.98884,5.82,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,True,3,0.98978,5.43,1173016
mnist_rot,equivariant,fourier_elu_16,Normbn,True,4,0.98854,5.82,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,False,0,0.989,5.32,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,False,1,0.9897,5.82,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,False,2,0.98878,5.32,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,False,3,0.98898,5.77,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,False,4,0.98742,5.33,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,True,0,0.99012,5.3,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,True,1,0.9905,5.8,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,True,2,0.98954,5.65,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,True,3,0.99006,5.37,1173016
mnist_rot,equivariant,fourier_relu_16,Normbn,True,4,0.9904,5.67,1173016
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,0,0.98846,5.4,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,1,0.98798,4.97,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,2,0.98768,5.42,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,3,0.98714,4.98,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,4,0.98742,5.5,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,0,0.9895,4.95,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,1,0.98944,5.27,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,2,0.98984,5.03,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,3,0.98934,5.37,1172041
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,4,0.98926,5.02,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,0,0.99004,5.3,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,1,0.9905,4.85,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,2,0.99032,5.13,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,3,0.98968,4.83,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,False,4,0.99064,5.68,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,0,0.99048,4.22,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,1,0.99148,4.33,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,2,0.99116,4.73,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,3,0.9906,5.13,1172041
mnist_rot,equivariant,fourierbn_relu_16,Normbn,True,4,0.99066,4.87,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,0,0.98954,6.4,1172041
mnist_rot,equivariant,fourierbn_relu_32,Normbn,False,1,0.99096,7.12,1172041
