dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
eurosat,resnet18,norm_relu,Normbn,False,2,0.910185,5.8,11181642,0.3557246923446655
eurosat,resnet18,norm_relu,Normbn,False,3,0.906852,6.12,11181642,0.347584068775177
eurosat,resnet18,norm_relu,Normbn,False,4,0.90037,8.97,11181642,0.3524350523948669
eurosat,resnet18,norm_relu,Normbn,True,0,0.963704,6.13,11181642,0.1815746277570724
eurosat,resnet18,norm_relu,Normbn,True,1,0.965,6.28,11181642,0.1896225810050964
eurosat,resnet18,norm_relu,Normbn,True,2,0.969444,6.98,11181642,0.1546323001384735
eurosat,resnet18,norm_relu,Normbn,True,3,0.970185,7.37,11181642,0.1539719700813293
eurosat,resnet18,norm_relu,Normbn,True,4,0.969074,6.22,11181642,0.1618757992982864
mnist_rot,equivariant,fourier_elu_16,Normbn,False,0,0.98632,5.43,1173016,0.0982799679040908
mnist_rot,equivariant,fourier_elu_16,Normbn,False,1,0.98612,5.92,1173016,0.0958054885268211
mnist_rot,equivariant,fourier_elu_16,Normbn,False,2,0.98578,5.43,1173016,0.096832774579525
mnist_rot,equivariant,fourier_elu_16,Normbn,False,3,0.9858,5.8,1173016,0.0897713601589202
mnist_rot,equivariant,fourier_elu_16,Normbn,False,4,0.9852,5.42,1173016,0.0997993052005767
mnist_rot,equivariant,fourier_elu_16,Normbn,True,0,0.98862,5.83,1173016,0.0907120704650878
mnist_rot,equivariant,fourier_elu_16,Normbn,True,1,0.98868,5.42,1173016,0.0904030948877334
mnist_rot,equivariant,fourier_elu_16,Normbn,True,2,0.98884,5.82,1173016,0.0877406895160675
mnist_rot,equivariant,fourier_elu_16,Normbn,True,3,0.98978,5.43,1173016,0.0898353159427642
mnist_rot,equivariant,fourier_elu_16,Normbn,True,4,0.98854,5.82,1173016,0.0898935720324516
mnist_rot,equivariant,fourier_relu_16,Normbn,False,0,0.989,5.32,1173016,0.1059352830052375
mnist_rot,equivariant,fourier_relu_16,Normbn,False,1,0.9897,5.82,1173016,0.1082620918750763
mnist_rot,equivariant,fourier_relu_16,Normbn,False,2,0.98878,5.32,1173016,0.1020016372203826
mnist_rot,equivariant,fourier_relu_16,Normbn,False,3,0.98898,5.77,1173016,0.101307064294815
mnist_rot,equivariant,fourier_relu_16,Normbn,False,4,0.98742,5.33,1173016,0.097899243235588
mnist_rot,equivariant,fourier_relu_16,Normbn,True,0,0.99012,5.3,1173016,0.0995880812406539
mnist_rot,equivariant,fourier_relu_16,Normbn,True,1,0.9905,5.8,1173016,0.1014899760484695
mnist_rot,equivariant,fourier_relu_16,Normbn,True,2,0.98954,5.65,1173016,0.0991642549633979
mnist_rot,equivariant,fourier_relu_16,Normbn,True,3,0.99006,5.37,1173016,0.1004668921232223
mnist_rot,equivariant,fourier_relu_16,Normbn,True,4,0.9904,5.67,1173016,0.101663202047348
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,0,0.98846,5.4,1172041,0.1032265573740005
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,1,0.98798,4.97,1172041,0.0981568470597267
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,2,0.98768,5.42,1172041,0.0921195447444915
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,3,0.98714,4.98,1172041,0.0941982418298721
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,4,0.98742,5.5,1172041,0.095341682434082
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,0,0.9895,4.95,1172041,0.1016632840037345
