dataset,model_type,activation,bn,aug,seed,test_acc,train_time_minutes,num_params,invariance_error
eurosat,equivariant,normbn_relu,Normbn,False,3,0.958704,84.08,1244167,0.1438316255807876
eurosat,equivariant,normbn_relu,Normbn,False,4,0.946481,76.1,1244167,0.129671037197113
eurosat,equivariant,normbn_relu,Normbn,True,0,0.963889,75.47,1244167,0.1181696653366088
eurosat,equivariant,normbn_relu,Normbn,True,1,0.960741,85.9,1244167,0.1191489771008491
eurosat,equivariant,normbn_relu,Normbn,True,2,0.962037,75.75,1244167,0.1222138032317161
eurosat,equivariant,normbn_relu,Normbn,True,3,0.965926,88.55,1244167,0.1197334751486778
eurosat,equivariant,normbn_relu,Normbn,True,4,0.961852,75.12,1244167,0.1198482811450958
eurosat,equivariant,normbnvec_relu,Normbn,False,0,0.952222,73.52,1244167,0.1277777850627899
eurosat,equivariant,normbnvec_relu,Normbn,False,1,0.954444,80.85,1244167,0.1234396994113922
eurosat,equivariant,normbnvec_relu,Normbn,False,2,0.95037,74.53,1244167,0.1311150938272476
eurosat,equivariant,normbnvec_relu,Normbn,False,3,0.958889,81.23,1244167,0.1321040987968444
eurosat,equivariant,normbnvec_relu,Normbn,False,4,0.94963,73.28,1244167,0.1216503903269767
eurosat,equivariant,normbnvec_relu,Normbn,True,0,0.961481,80.45,1244167,0.1174124553799629
eurosat,equivariant,normbnvec_relu,Normbn,True,1,0.96537,73.85,1244167,0.1161478534340858
eurosat,equivariant,normbnvec_relu,Normbn,True,2,0.952963,79.68,1244167,0.119024246931076
eurosat,equivariant,normbnvec_relu,Normbn,True,3,0.956852,73.0,1244167,0.1175078973174095
eurosat,equivariant,normbnvec_relu,Normbn,True,4,0.952222,79.38,1244167,0.1164161413908004
eurosat,resnet18,norm_relu,Normbn,False,0,0.899444,8.42,11181642,0.3612670302391052
eurosat,resnet18,norm_relu,Normbn,False,1,0.908704,5.68,11181642,0.3376286029815674
eurosat,resnet18,norm_relu,Normbn,False,2,0.910185,5.8,11181642,0.3557246923446655
eurosat,resnet18,norm_relu,Normbn,False,3,0.906852,6.12,11181642,0.347584068775177
eurosat,resnet18,norm_relu,Normbn,False,4,0.90037,8.97,11181642,0.3524350523948669
eurosat,resnet18,norm_relu,Normbn,True,0,0.963704,6.13,11181642,0.1815746277570724
eurosat,resnet18,norm_relu,Normbn,True,1,0.965,6.28,11181642,0.1896225810050964
eurosat,resnet18,norm_relu,Normbn,True,2,0.969444,6.98,11181642,0.1546323001384735
eurosat,resnet18,norm_relu,Normbn,True,3,0.970185,7.37,11181642,0.1539719700813293
eurosat,resnet18,norm_relu,Normbn,True,4,0.969074,6.22,11181642,0.1618757992982864
mnist_rot,equivariant,fourier_elu_16,Normbn,False,0,0.98632,5.43,1173016,0.0957604572176933
mnist_rot,equivariant,fourier_elu_16,Normbn,False,1,0.98612,5.92,1173016,0.0933182090520858
mnist_rot,equivariant,fourier_elu_16,Normbn,False,2,0.98578,5.43,1173016,0.0942955166101455
mnist_rot,equivariant,fourier_elu_16,Normbn,False,3,0.9858,5.8,1173016,0.0876111835241317
mnist_rot,equivariant,fourier_elu_16,Normbn,False,4,0.9852,5.42,1173016,0.0970205068588256
mnist_rot,equivariant,fourier_elu_16,Normbn,True,0,0.98862,5.83,1173016,0.08859583735466
mnist_rot,equivariant,fourier_elu_16,Normbn,True,1,0.98868,5.42,1173016,0.0881211757659912
mnist_rot,equivariant,fourier_elu_16,Normbn,True,2,0.98884,5.82,1173016,0.0856698453426361
mnist_rot,equivariant,fourier_elu_16,Normbn,True,3,0.98978,5.43,1173016,0.0879944711923599
mnist_rot,equivariant,fourier_elu_16,Normbn,True,4,0.98854,5.82,1173016,0.0877068266272544
mnist_rot,equivariant,fourier_relu_16,Normbn,False,0,0.989,5.32,1173016,0.1037043184041976
mnist_rot,equivariant,fourier_relu_16,Normbn,False,1,0.9897,5.82,1173016,0.1058327108621597
mnist_rot,equivariant,fourier_relu_16,Normbn,False,2,0.98878,5.32,1173016,0.099655844271183
mnist_rot,equivariant,fourier_relu_16,Normbn,False,3,0.98898,5.77,1173016,0.0991945192217826
mnist_rot,equivariant,fourier_relu_16,Normbn,False,4,0.98742,5.33,1173016,0.0956782773137092
mnist_rot,equivariant,fourier_relu_16,Normbn,True,0,0.99012,5.3,1173016,0.0974956899881362
mnist_rot,equivariant,fourier_relu_16,Normbn,True,1,0.9905,5.8,1173016,0.0996122509241104
mnist_rot,equivariant,fourier_relu_16,Normbn,True,2,0.98954,5.65,1173016,0.0970426797866821
mnist_rot,equivariant,fourier_relu_16,Normbn,True,3,0.99006,5.37,1173016,0.0984148979187011
mnist_rot,equivariant,fourier_relu_16,Normbn,True,4,0.9904,5.67,1173016,0.0995580106973648
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,0,0.98846,5.4,1172041,0.1009987443685531
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,1,0.98798,4.97,1172041,0.0955210924148559
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,2,0.98768,5.42,1172041,0.0900506973266601
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,3,0.98714,4.98,1172041,0.0919542834162712
mnist_rot,equivariant,fourierbn_elu_16,Normbn,False,4,0.98742,5.5,1172041,0.0931823998689651
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,0,0.9895,4.95,1172041,0.0997858494520187
mnist_rot,equivariant,fourierbn_elu_16,Normbn,True,1,0.98944,5.27,1172041,0.0918114557862281
